Actor Name,Actor_ID,Settlement Name,Settlement_ID,Sector Name,Sector_ID,Project Name,Project_ID
Government_,56,Kiryandongo TC,21,Education,3,,
IsraAID,52,Pagirinya Settlement,1,Education,3,,
IsraAID,52,"Maaji I,II, III",2,Education,3,,
UNICEF,63,Ocea RC (Rhino),9,Education,3,,
PLAN,44,Ocea RC (Rhino),9,Education,3,,
TAN,53,Ocea RC (Rhino),9,Education,3,,
ZOA,76,Ocea RC (Rhino),9,Education,3,,
SCI,49,Ocea RC (Rhino),9,Education,3,,
Arua - District Local Government ,77,Ocea RC (Rhino),9,Education,3,,
NRC,38,Ocea RC (Rhino),9,Education,3,,
UNHCR,61,Ocea RC (Rhino),9,Education,3,,19
UNHCR,61,"Maaji I,II, III",2,WASH ,4,,
UNHCR,61,"Mungula I, II",3,WASH ,4,,
UNHCR,61,Kyangwali,7,WASH ,4,,
UNHCR,61,Elegu CP,14,WASH ,4,,
UNHCR,61,Rwamwanja,16,WASH ,4,,
UNHCR,61,Nakivale Settlement,18,WASH ,4,,
UNHCR,61,Oruchinga,19,WASH ,4,,
UNHCR,61,Kyaka II settlement,20,WASH ,4,,
UNHCR,61,Kiryandongo TC,21,WASH ,4,,
UNHCR,61,Kiryandongo Settlement,22,WASH ,4,,
DRC,18,"Mungula I, II",3,WASH ,4,,
DRC,18,Nyumanzi,5,WASH ,4,,
DRC,18,Kyaka II settlement,20,WASH ,4,,
IAU,27,Kiryandongo TC,21,WASH ,4,,
RLP,46,Kampala District,23,SGBV,2,,
NRC,38,Nyumanzi,5,WASH ,4,,
LWF,33,"Ayilo I,II",6,WASH ,4,,
ARC,9,Nakivale Settlement,18,WASH ,4,,
WMI,69,Elegu CP,14,WASH ,4,,
Isingiro - District Local Government ,80,Nakivale Settlement,18,WASH ,4,,
URCS,58,"Mungula I, II",3,WASH ,4,,
LWF,33,Boroli,4,WASH ,4,,
WVI,75,Rwamwanja,16,WASH ,4,,
LWF,33,Nyumanzi,5,WASH ,4,,
HIJRA,26,Oruchinga,19,WASH ,4,,
DRC,18,Kiryandongo Settlement,22,WASH ,4,,
Kamwenge - District Local Government ,81,Rwamwanja,16,WASH ,4,,
NRC,38,"Ayilo I,II",6,WASH ,4,,
Isingiro - District Local Government ,80,Oruchinga,19,WASH ,4,,
UNHCR,61,Pagirinya Settlement,1,WASH ,4,,
UNHCR,61,Kuluba CP,8,WASH ,4,,
UNHCR,61,Ocea RC (Rhino),9,WASH ,4,,
UNHCR,61,Rhino settlement,10,WASH ,4,,
UNHCR,61,Imvepi Settlement,11,WASH ,4,,
UNHCR,61,Palabek Settlement,12,WASH ,4,,
UNHCR,61,Bidibidi Settlement,13,WASH ,4,,
IAU,27,Kiryandongo Settlement,22,WASH ,4,,
DRC,18,"Maaji I,II, III",2,WASH ,4,,
URCS,58,"Maaji I,II, III",2,WASH ,4,,
ACF,3,Kiryandongo Settlement,22,WASH ,4,,
URCS,58,Imvepi Settlement,11,WASH ,4,,
UNICEF,63,Elegu CP,14,WASH ,4,,
LWF,33,Elegu CP,14,WASH ,4,,
LWF,33,Rwamwanja,16,WASH ,4,,
AAH,2,Kyangwali,7,WASH ,4,,
NRC,38,"Mungula I, II",3,WASH ,4,,
CRC,16,Bidibidi Settlement,13,WASH ,4,,
UNHCR,61,Palorinya Settlement,15,WASH ,4,,
UNHCR,61,Nyakabande TC,17,WASH ,4,,
IAS,28,Rhino settlement,10,WASH ,4,,
UNICEF,63,Pagirinya Settlement,1,WASH ,4,,
UNICEF,63,Rhino settlement,10,WASH ,4,,
UNICEF,63,Bidibidi Settlement,13,WASH ,4,,
ACF,3,Imvepi Settlement,11,WASH ,4,,
ACF,3,Palabek Settlement,12,WASH ,4,,
ACF,3,Bidibidi Settlement,13,WASH ,4,,
ADRA,4,Imvepi Settlement,11,WASH ,4,,
ADRA,4,Bidibidi Settlement,13,WASH ,4,,
AIRD,6,Bidibidi Settlement,13,WASH ,4,,
AIRD,6,Nyakabande TC,17,WASH ,4,,
Caritas,12,Palabek Settlement,12,WASH ,4,,
DRC,18,Kuluba CP,8,WASH ,4,,
DRC,18,Ocea RC (Rhino),9,WASH ,4,,
DRC,18,Rhino settlement,10,WASH ,4,,
DRC,18,Bidibidi Settlement,13,WASH ,4,,
VEDCO,66,Palabek Settlement,12,WASH ,4,,
MSF,35,Pagirinya Settlement,1,WASH ,4,,
MSF,35,Palabek Settlement,12,WASH ,4,,
MSF,35,Bidibidi Settlement,13,WASH ,4,,
MSF,35,Palorinya Settlement,15,WASH ,4,,
PLAN,44,Bidibidi Settlement,13,WASH ,4,,
NRC,38,Rhino settlement,10,WASH ,4,,
NRC,38,Bidibidi Settlement,13,WASH ,4,,
URCS,58,Rhino settlement,10,WASH ,4,,
URCS,58,Bidibidi Settlement,13,WASH ,4,,
SP,48,Imvepi Settlement,11,WASH ,4,,
SP,48,Bidibidi Settlement,13,WASH ,4,,
WMI,69,Pagirinya Settlement,1,WASH ,4,,
WMI,69,Rhino settlement,10,WASH ,4,,
WMI,69,Bidibidi Settlement,13,WASH ,4,,
WHH,71,Pagirinya Settlement,1,WASH ,4,,
WHH,71,Rhino settlement,10,WASH ,4,,
WHH,71,Imvepi Settlement,11,WASH ,4,,
WHH,71,Bidibidi Settlement,13,WASH ,4,,
WVI,75,Rhino settlement,10,WASH ,4,,
Peace Wind,42,Bidibidi Settlement,13,WASH ,4,,
OXFAM,41,Imvepi Settlement,11,WASH ,4,,
OXFAM,41,Palabek Settlement,12,WASH ,4,,
OXFAM,41,Bidibidi Settlement,13,WASH ,4,,
LWF,33,Pagirinya Settlement,1,WASH ,4,,
LWF,33,Palabek Settlement,12,WASH ,4,,
LWF,33,Palorinya Settlement,15,WASH ,4,,
IOM,31,Bidibidi Settlement,13,WASH ,4,,
Here is Life,25,Imvepi Settlement,11,WASH ,4,,
Here is Life,25,Bidibidi Settlement,13,WASH ,4,,
MI,34,Rhino settlement,10,WASH ,4,,
MI,34,Bidibidi Settlement,13,WASH ,4,,
NRC,38,Ocea RC (Rhino),9,WASH ,4,,
CAFOMI,10,Nyakabande TC,17,WASH ,4,,11
OXFAM,41,Rhino settlement,10,WASH ,4,,8
MSF-H,88,Rhino settlement,10,WASH ,4,,
MSF-F,87,Imvepi Settlement,11,WASH ,4,,
Arua - District Local Government ,77,Imvepi Settlement,11,WASH ,4,,
Arua - District Local Government ,77,Rhino settlement,10,WASH ,4,,
Yumbe - District Local Government ,86,Bidibidi Settlement,13,WASH ,4,,
Lamwo - District Local Government ,78,Palabek Settlement,12,WASH ,4,,
Moyo - District Local Government ,85,Palorinya Settlement,15,WASH ,4,,
ACF,3,Kuluba CP,8,WASH ,4,,1
ACF,3,Ocea RC (Rhino),9,WASH ,4,,2
OPM,23,Bidibidi Settlement,13,Livelihoods,5,,
UNHCR,61,Kyangwali,7,Livelihoods,5,,
UNHCR,61,Bidibidi Settlement,13,Livelihoods,5,,
AAH,2,Kyangwali,7,Livelihoods,5,,
AAH,2,Bidibidi Settlement,13,Livelihoods,5,,
ACF,3,Bidibidi Settlement,13,Livelihoods,5,,
ADRA,4,Bidibidi Settlement,13,Livelihoods,5,,
ARC,9,Kyangwali,7,Livelihoods,5,,
ARC,9,Bidibidi Settlement,13,Livelihoods,5,,
Caritas,12,Nyumanzi,5,Livelihoods,5,,
Caritas,12,Imvepi Settlement,11,Livelihoods,5,,
Caritas,12,Palabek Settlement,12,Livelihoods,5,,
Caritas,12,Bidibidi Settlement,13,Livelihoods,5,,
CEFORD,14,Bidibidi Settlement,13,Livelihoods,5,,
DRC,18,"Maaji I,II, III",2,Livelihoods,5,,
DRC,18,"Mungula I, II",3,Livelihoods,5,,
DRC,18,"Ayilo I,II",6,Livelihoods,5,,
DRC,18,Kuluba CP,8,Livelihoods,5,,
DRC,18,Kyaka II settlement,20,Livelihoods,5,,
DRC,18,Kampala District,23,Livelihoods,5,,
FRC,21,Nakivale Settlement,18,Livelihoods,5,,
IAU,27,Kiryandongo TC,21,Livelihoods,5,,
IRC,32,Bidibidi Settlement,13,Livelihoods,5,,
IRC,32,Kampala District,23,Livelihoods,5,,
CESVI,13,Palabek Settlement,12,Livelihoods,5,,
TPO,54,Bidibidi Settlement,13,Livelihoods,5,,
URDMC,59,Bidibidi Settlement,13,Livelihoods,5,,
NRC,38,Ocea RC (Rhino),9,Livelihoods,5,,
Yumbe - District Local Government ,86,Bidibidi Settlement,13,Livelihoods,5,,
SP,48,Bidibidi Settlement,13,Livelihoods,5,,
WHH,71,Bidibidi Settlement,13,Livelihoods,5,,
WVI,75,Imvepi Settlement,11,Livelihoods,5,,
WVI,75,Bidibidi Settlement,13,Livelihoods,5,,
OXFAM,41,Palabek Settlement,12,Livelihoods,5,,
FH,22,"Mungula I, II",3,Livelihoods,5,,
FH,22,Boroli,4,Livelihoods,5,,
FH,22,Palabek Settlement,12,Livelihoods,5,,
SCI,49,Bidibidi Settlement,13,Livelihoods,5,,
DCA,17,Bidibidi Settlement,13,Livelihoods,5,,
FCA,20,Bidibidi Settlement,13,Livelihoods,5,,
LWF,33,Pagirinya Settlement,1,Livelihoods,5,,
LWF,33,Boroli,4,Livelihoods,5,,
LWF,33,Nyumanzi,5,Livelihoods,5,,
LWF,33,"Ayilo I,II",6,Livelihoods,5,,
LWF,33,Palabek Settlement,12,Livelihoods,5,,
LWF,33,Palorinya Settlement,15,Livelihoods,5,,
MI,34,Bidibidi Settlement,13,Livelihoods,5,,
NSAMIZI,39,Nakivale Settlement,18,Livelihoods,5,,
NSAMIZI,39,Oruchinga,19,Livelihoods,5,,
NRC,38,"Maaji I,II, III",2,Livelihoods,5,,
NRC,38,Nyumanzi,5,Livelihoods,5,,
NRC,38,Bidibidi Settlement,13,Livelihoods,5,,
UNHCR,61,Rhino settlement,10,Livelihoods,5,,
UNHCR,61,Kiryandongo Settlement,22,Livelihoods,5,,
IAS,28,Rhino settlement,10,Livelihoods,5,,
FAO,60,Rhino settlement,10,Livelihoods,5,,
DRC,18,Rhino settlement,10,Livelihoods,5,,
DRC,18,Kiryandongo Settlement,22,Livelihoods,5,,
IAU,27,Kiryandongo Settlement,22,Livelihoods,5,,
TPO,54,Kiryandongo Settlement,22,Livelihoods,5,,
NRC,38,Rhino settlement,10,Livelihoods,5,,
SP,48,Rwamwanja,16,Livelihoods,5,,
WHH,71,Rhino settlement,10,Livelihoods,5,,
FCA,20,Rwamwanja,16,Livelihoods,5,,
LWF,33,Rwamwanja,16,Livelihoods,5,,
Government_,56,Rhino settlement,10,Livelihoods,5,,
NRC,38,Rhino settlement,10,Livelihoods,5,,
ACAV,1,Rhino settlement,10,Livelihoods,5,,
ACORD,7,Rwamwanja,16,Livelihoods,5,,20
OXFAM,41,Rhino settlement,10,Livelihoods,5,,9
Kiryandongo - District Local Government ,84,Kiryandongo Settlement,22,Livelihoods,5,,
OPM,23,Rhino settlement,10,Food Assistance,6,,
UNHCR,61,Kyangwali,7,Food Assistance,6,,
UNHCR,61,Kuluba CP,8,Food Assistance,6,,
UNHCR,61,Ocea RC (Rhino),9,Food Assistance,6,,
UNHCR,61,Rhino settlement,10,Food Assistance,6,,
WFP,73,Pagirinya Settlement,1,Food Assistance,6,,
WFP,73,"Maaji I,II, III",2,Food Assistance,6,,
WFP,73,"Mungula I, II",3,Food Assistance,6,,
WFP,73,Boroli,4,Food Assistance,6,,
WFP,73,Nyumanzi,5,Food Assistance,6,,
WFP,73,"Ayilo I,II",6,Food Assistance,6,,
WFP,73,Kyangwali,7,Food Assistance,6,,
WFP,73,Kuluba CP,8,Food Assistance,6,,
WFP,73,Ocea RC (Rhino),9,Food Assistance,6,,
WFP,73,Rhino settlement,10,Food Assistance,6,,
WFP,73,Imvepi Settlement,11,Food Assistance,6,,
WFP,73,Palabek Settlement,12,Food Assistance,6,,
WFP,73,Bidibidi Settlement,13,Food Assistance,6,,
WFP,73,Elegu CP,14,Food Assistance,6,,
WFP,73,Palorinya Settlement,15,Food Assistance,6,,
WFP,73,Rwamwanja,16,Food Assistance,6,,
WFP,73,Nyakabande TC,17,Food Assistance,6,,
WFP,73,Nakivale Settlement,18,Food Assistance,6,,
WFP,73,Oruchinga,19,Food Assistance,6,,
WFP,73,Kiryandongo TC,21,Food Assistance,6,,
WFP,73,Kiryandongo Settlement,22,Food Assistance,6,,
FAO,60,Rhino settlement,10,Food Assistance,6,,
CWW,15,Rhino settlement,10,Food Assistance,6,,
DRC,18,Kuluba CP,8,Food Assistance,6,,
DRC,18,Ocea RC (Rhino),9,Food Assistance,6,,
DRC,18,Rhino settlement,10,Food Assistance,6,,
IAU,27,Kiryandongo TC,21,Food Assistance,6,,
URDMC,59,Pagirinya Settlement,1,Food Assistance,6,,
URDMC,59,Palabek Settlement,12,Food Assistance,6,,
SP,48,Kyangwali,7,Food Assistance,6,,
SP,48,Imvepi Settlement,11,Food Assistance,6,,
SP,48,Palabek Settlement,12,Food Assistance,6,,
SP,48,Rwamwanja,16,Food Assistance,6,,
SP,48,Nakivale Settlement,18,Food Assistance,6,,
SP,48,Oruchinga,19,Food Assistance,6,,
SP,48,Kyaka II settlement,20,Food Assistance,6,,
SP,48,Kiryandongo TC,21,Food Assistance,6,,
SP,48,Kiryandongo Settlement,22,Food Assistance,6,,
WVI,75,Pagirinya Settlement,1,Food Assistance,6,,
WVI,75,"Maaji I,II, III",2,Food Assistance,6,,
WVI,75,"Mungula I, II",3,Food Assistance,6,,
WVI,75,Boroli,4,Food Assistance,6,,
WVI,75,Nyumanzi,5,Food Assistance,6,,
WVI,75,"Ayilo I,II",6,Food Assistance,6,,
WVI,75,Ocea RC (Rhino),9,Food Assistance,6,,
WVI,75,Rhino settlement,10,Food Assistance,6,,
WVI,75,Bidibidi Settlement,13,Food Assistance,6,,
WVI,75,Elegu CP,14,Food Assistance,6,,
WVI,75,Palorinya Settlement,15,Food Assistance,6,,
FH,22,Rwamwanja,16,Food Assistance,6,,
FH,22,Kiryandongo Settlement,22,Food Assistance,6,,
OPM,23,Rwamwanja,16,Health and Nutrition,7,,
UNHCR,61,Pagirinya Settlement,1,Health and Nutrition,7,,
